District,HWCs,Login,T- HWC,T- OPD,A-HWC,A-OPD,%HWC,%OPD
Kodagu,195,139,975,182,867,27,88.92307692,15
Shivamogga,305,150,1525,586,1230,54,80.6557377,9
Belgaum,575,355,2875,848,1962,250,68.24347826,29
Bengaluru (Urban),117,68,585,210,321,104,54.87179487,50
Haveri,283,159,1415,482,960,32,67.84452297,7
Yadgir,194,59,970,312,579,22,59.69072165,7
Koppal,194,62,970,358,593,17,61.13402062,5
Raichur,232,93,1160,462,662,12,57.06896552,3
Kolara,260,26,1300,294,642,11,49.38461538,4
BBMP,141,157,705,644,518,29,73.4751773,5
Ramanagara,64,132,325,374,65,206,20,55
Chitradurga,335,105,1675,610,833,16,49.73134328,3
Ballari,340,77,1700,732,813,80,47.82352941,11
vijayapura,284,62,1420,480,584,92,41.12676056,19
Bidar,273,72,1365,388,608,10,44.54212454,3
Bagalkote,210,122,1050,450,379,107,36.0952381,24
Gadag,164,24,820,358,329,39,40.12195122,11
Uttar Kannada,377,92,1885,408,706,2,37.4535809,0
Hassan,138,61,690,888,53,425,7.68115942,48
Chamarajanagara,285,130,1425,212,495,32,34.73684211,15
Davangere,248,77,1240,558,208,266,16.77419355,48
Udupi,313,46,1565,420,401,19,25.62300319,5
Chikkamangalur,319,173,1595,484,392,119,24.57680251,25
Bengaluru (Rural),192,110,960,318,216,93,22.5,29
Tumkuru,560,41,2800,698,502,307,17.92857143,44
kalburgi,347,129,1735,666,470,12,27.08933718,2
Dharwad,174,94,870,400,128,90,14.71264368,23
Mandya,512,104,2560,522,352,108,13.75,21
Mysuru,539,6,2695,734,400,27,14.84230056,4
Dakshina Kannada,401,22,2005,656,307,21,15.3117207,3
Chikaballapura,222,6,1110,224,27,93,2.432432432,42
